countrycode,country,year,fdi,key
BEL,Belgium,1974,,BEL-1974
CAN,Canada,1974,2.321243223,CAN-1974
CHE,Switzerland,1974,,CHE-1974
CHL,Chile,1974,,CHL-1974
CZE,Czech Republic,1974,,CZE-1974
DEU,Germany,1974,0.490735089,DEU-1974
DNK,Denmark,1974,0.702568635,DNK-1974
ESP,Spain,1974,0.369034881,ESP-1974
EST,Estonia,1974,,EST-1974
FIN,Finland,1974,0.140747206,FIN-1974
FRA,France,1974,0.646692012,FRA-1974
GBR,United Kingdom,1974,2.121823274,GBR-1974
GRC,Greece,1974,0.26428619,GRC-1974
HUN,Hungary,1974,,HUN-1974
IRL,Ireland,1974,0.64755002,IRL-1974
ISL,Iceland,1974,,ISL-1974
ISR,Israel,1974,,ISR-1974
ITA,Italy,1974,0.299885595,ITA-1974
JPN,Japan,1974,,JPN-1974
KOR,"Korea, Rep.",1974,,KOR-1974
LUX,Luxembourg,1974,,LUX-1974
LVA,Latvia,1974,,LVA-1974
MEX,Mexico,1974,0.706605556,MEX-1974
NLD,Netherlands,1974,1.28075627,NLD-1974
NOR,Norway,1974,1.274603635,NOR-1974
NZL,New Zealand,1974,1.788347478,NZL-1974
POL,Poland,1974,,POL-1974
PRT,Portugal,1974,0.605226229,PRT-1974
SVK,Slovak Republic,1974,,SVK-1974
SVN,Slovenia,1974,,SVN-1974
SWE,Sweden,1974,0.117675872,SWE-1974
TUR,Turkey,1974,0.179775716,TUR-1974
USA,United States,1974,0.215001695,USA-1974
AUS,Australia,1975,0.46845259,AUS-1975
AUT,Austria,1975,0.197493687,AUT-1975
BEL,Belgium,1975,,BEL-1975
CAN,Canada,1975,1.947941599,CAN-1975
CHE,Switzerland,1975,,CHE-1975
CHL,Chile,1975,0.655977095,CHL-1975
CZE,Czech Republic,1975,,CZE-1975
DEU,Germany,1975,0.141269406,DEU-1975
DNK,Denmark,1975,0.65953297,DNK-1975
ESP,Spain,1975,0.596368776,ESP-1975
EST,Estonia,1975,,EST-1975
FIN,Finland,1975,0.231467116,FIN-1975
FRA,France,1975,0.433400884,FRA-1975
GBR,United Kingdom,1975,1.372676187,GBR-1975
GRC,Greece,1975,0.084134149,GRC-1975
HUN,Hungary,1975,,HUN-1975
IRL,Ireland,1975,1.665810107,IRL-1975
ISL,Iceland,1975,,ISL-1975
ISR,Israel,1975,,ISR-1975
ITA,Italy,1975,0.284349522,ITA-1975
JPN,Japan,1975,,JPN-1975
KOR,"Korea, Rep.",1975,,KOR-1975
LUX,Luxembourg,1975,,LUX-1975
LVA,Latvia,1975,,LVA-1975
MEX,Mexico,1975,0.520921591,MEX-1975
NLD,Netherlands,1975,1.245202431,NLD-1975
NOR,Norway,1975,0.66816294,NOR-1975
NZL,New Zealand,1975,1.063235152,NZL-1975
POL,Poland,1975,,POL-1975
PRT,Portugal,1975,0.596145706,PRT-1975
SVK,Slovak Republic,1975,,SVK-1975
SVN,Slovenia,1975,,SVN-1975
SWE,Sweden,1975,0.098162437,SWE-1975
TUR,Turkey,1975,0.255412349,TUR-1975
USA,United States,1975,0.151575886,USA-1975
AUS,Australia,1976,0.994037905,AUS-1976
AUT,Austria,1976,0.212366202,AUT-1976
BEL,Belgium,1976,,BEL-1976
CAN,Canada,1976,1.186362422,CAN-1976
CHE,Switzerland,1976,,CHE-1976
CHL,Chile,1976,-0.00966938,CHL-1976
CZE,Czech Republic,1976,,CZE-1976
DEU,Germany,1976,0.255195203,DEU-1976
DNK,Denmark,1976,-0.42690307,DNK-1976
ESP,Spain,1976,0.404129778,ESP-1976
EST,Estonia,1976,,EST-1976
FIN,Finland,1976,0.181921559,FIN-1976
FRA,France,1976,0.262522929,FRA-1976
GBR,United Kingdom,1976,1.292355806,GBR-1976
GRC,Greece,1976,0.97904395,GRC-1976
HUN,Hungary,1976,,HUN-1976
IRL,Ireland,1976,1.824426325,IRL-1976
ISL,Iceland,1976,0.273596859,ISL-1976
ISR,Israel,1976,,ISR-1976
ITA,Italy,1976,0.048520409,ITA-1976
JPN,Japan,1976,,JPN-1976
KOR,"Korea, Rep.",1976,0.272000666,KOR-1976
LUX,Luxembourg,1976,,LUX-1976
LVA,Latvia,1976,,LVA-1976
MEX,Mexico,1976,0.821615274,MEX-1976
NLD,Netherlands,1976,0.53917525,NLD-1976
NOR,Norway,1976,1.033299414,NOR-1976
NZL,New Zealand,1976,2.039596548,NZL-1976
POL,Poland,1976,,POL-1976
PRT,Portugal,1976,0.309808757,PRT-1976
SVK,Slovak Republic,1976,,SVK-1976
SVN,Slovenia,1976,,SVN-1976
SWE,Sweden,1976,0.005521208,SWE-1976
TUR,Turkey,1976,0.019500729,TUR-1976
USA,United States,1976,0.173094509,USA-1976
AUS,Australia,1977,1.033926059,AUS-1977
AUT,Austria,1977,0.187821783,AUT-1977
BEL,Belgium,1977,,BEL-1977
CAN,Canada,1977,1.59338726,CAN-1977
CHE,Switzerland,1977,,CHE-1977
CHL,Chile,1977,0.150398627,CHL-1977
CZE,Czech Republic,1977,,CZE-1977
DEU,Germany,1977,0.158800099,DEU-1977
DNK,Denmark,1977,0.152256347,DNK-1977
ESP,Spain,1977,0.460047638,ESP-1977
EST,Estonia,1977,,EST-1977
FIN,Finland,1977,0.143357747,FIN-1977
FRA,France,1977,0.462162851,FRA-1977
GBR,United Kingdom,1977,1.682672051,GBR-1977
GRC,Greece,1977,1.06976312,GRC-1977
HUN,Hungary,1977,,HUN-1977
IRL,Ireland,1977,1.209712215,IRL-1977
ISL,Iceland,1977,0.193033222,ISL-1977
ISR,Israel,1977,,ISR-1977
ITA,Italy,1977,0.439427709,ITA-1977
JPN,Japan,1977,0.002772342,JPN-1977
KOR,"Korea, Rep.",1977,0.245654768,KOR-1977
LUX,Luxembourg,1977,,LUX-1977
LVA,Latvia,1977,,LVA-1977
MEX,Mexico,1977,0.39981099,MEX-1977
NLD,Netherlands,1977,0.482709215,NLD-1977
NOR,Norway,1977,1.850958,NOR-1977
NZL,New Zealand,1977,0.997524291,NZL-1977
POL,Poland,1977,,POL-1977
PRT,Portugal,1977,0.270104201,PRT-1977
SVK,Slovak Republic,1977,,SVK-1977
SVN,Slovenia,1977,,SVN-1977
SWE,Sweden,1977,0.087456009,SWE-1977
TUR,Turkey,1977,0.046014769,TUR-1977
USA,United States,1977,0.139025317,USA-1977
AUS,Australia,1978,1.417974887,AUS-1978
AUT,Austria,1978,0.229467386,AUT-1978
BEL,Belgium,1978,,BEL-1978
CAN,Canada,1978,1.710699134,CAN-1978
CHE,Switzerland,1978,,CHE-1978
CHL,Chile,1978,1.131962166,CHL-1978
CZE,Czech Republic,1978,,CZE-1978
DEU,Germany,1978,0.21736854,DEU-1978
DNK,Denmark,1978,0.148211803,DNK-1978
ESP,Spain,1978,0.735596055,ESP-1978
EST,Estonia,1978,,EST-1978
FIN,Finland,1978,0.093148498,FIN-1978
FRA,France,1978,0.487750171,FRA-1978
GBR,United Kingdom,1978,1.127586247,GBR-1978
GRC,Greece,1978,0.966790232,GRC-1978
HUN,Hungary,1978,,HUN-1978
IRL,Ireland,1978,2.558790221,IRL-1978
ISL,Iceland,1978,0.327323694,ISL-1978
ISR,Israel,1978,,ISR-1978
ITA,Italy,1978,0.151589209,ITA-1978
JPN,Japan,1978,0.000986571,JPN-1978
KOR,"Korea, Rep.",1978,0.172144938,KOR-1978
LUX,Luxembourg,1978,,LUX-1978
LVA,Latvia,1978,,LVA-1978
MEX,Mexico,1978,0.642110244,MEX-1978
NLD,Netherlands,1978,0.703283402,NLD-1978
NOR,Norway,1978,1.052840981,NOR-1978
NZL,New Zealand,1978,1.470593746,NZL-1978
POL,Poland,1978,,POL-1978
PRT,Portugal,1978,0.280944184,PRT-1978
SVK,Slovak Republic,1978,,SVK-1978
SVN,Slovenia,1978,,SVN-1978
SWE,Sweden,1978,0.067701464,SWE-1978
TUR,Turkey,1978,0.052189645,TUR-1978
USA,United States,1978,0.248242043,USA-1978
AUS,Australia,1979,1.105100551,AUS-1979
AUT,Austria,1979,0.253497718,AUT-1979
BEL,Belgium,1979,,BEL-1979
CAN,Canada,1979,2.183605525,CAN-1979
CHE,Switzerland,1979,,CHE-1979
CHL,Chile,1979,1.119076275,CHL-1979
CZE,Czech Republic,1979,,CZE-1979
DEU,Germany,1979,0.197327051,DEU-1979
DNK,Denmark,1979,0.31818258,DNK-1979
ESP,Spain,1979,0.652656981,ESP-1979
EST,Estonia,1979,,EST-1979
FIN,Finland,1979,0.061863082,FIN-1979
FRA,France,1979,0.421580946,FRA-1979
GBR,United Kingdom,1979,1.473705819,GBR-1979
GRC,Greece,1979,1.125144814,GRC-1979
HUN,Hungary,1979,,HUN-1979
IRL,Ireland,1979,1.835639948,IRL-1979
ISL,Iceland,1979,0.110274651,ISL-1979
ISR,Israel,1979,,ISR-1979
ITA,Italy,1979,0.105878577,ITA-1979
JPN,Japan,1979,0.022748554,JPN-1979
KOR,"Korea, Rep.",1979,0.052577835,KOR-1979
LUX,Luxembourg,1979,,LUX-1979
LVA,Latvia,1979,,LVA-1979
MEX,Mexico,1979,0.98988266,MEX-1979
NLD,Netherlands,1979,0.966958542,NLD-1979
NOR,Norway,1979,0.755391158,NOR-1979
NZL,New Zealand,1979,1.703201254,NZL-1979
POL,Poland,1979,,POL-1979
PRT,Portugal,1979,0.294094868,PRT-1979
SVK,Slovak Republic,1979,,SVK-1979
SVN,Slovenia,1979,,SVN-1979
SWE,Sweden,1979,0.092455934,SWE-1979
TUR,Turkey,1979,0.083898168,TUR-1979
USA,United States,1979,0.330529154,USA-1979
AUS,Australia,1980,1.248732166,AUS-1980
AUT,Austria,1980,0.291624498,AUT-1980
BEL,Belgium,1980,,BEL-1980
CAN,Canada,1980,2.122779752,CAN-1980
CHE,Switzerland,1980,,CHE-1980
CHL,Chile,1980,0.733554183,CHL-1980
CZE,Czech Republic,1980,,CZE-1980
DEU,Germany,1980,0.036170709,DEU-1980
DNK,Denmark,1980,0.146384402,DNK-1980
ESP,Spain,1980,0.643030874,ESP-1980
EST,Estonia,1980,,EST-1980
FIN,Finland,1980,0.052062393,FIN-1980
FRA,France,1980,0.468106015,FRA-1980
GBR,United Kingdom,1980,1.791819689,GBR-1980
GRC,Greece,1980,1.182481048,GRC-1980
HUN,Hungary,1980,,HUN-1980
IRL,Ireland,1980,1.315570123,IRL-1980
ISL,Iceland,1980,0.669403308,ISL-1980
ISR,Israel,1980,,ISR-1980
ITA,Italy,1980,0.121210092,ITA-1980
JPN,Japan,1980,0.025330519,JPN-1980
KOR,"Korea, Rep.",1980,0.009233494,KOR-1980
LUX,Luxembourg,1980,,LUX-1980
LVA,Latvia,1980,,LVA-1980
MEX,Mexico,1980,1.075391499,MEX-1980
NLD,Netherlands,1980,1.18258158,NLD-1980
NOR,Norway,1980,0.092825218,NOR-1980
NZL,New Zealand,1980,0.769936668,NZL-1980
POL,Poland,1980,,POL-1980
PRT,Portugal,1980,0.477057406,PRT-1980
SVK,Slovak Republic,1980,,SVK-1980
SVN,Slovenia,1980,,SVN-1980
SWE,Sweden,1980,0.179109113,SWE-1980
TUR,Turkey,1980,0.026166864,TUR-1980
USA,United States,1980,0.591440015,USA-1980
AUS,Australia,1981,1.328866575,AUS-1981
AUT,Austria,1981,0.46107362,AUT-1981
BEL,Belgium,1981,,BEL-1981
CAN,Canada,1981,0.216749136,CAN-1981
CHE,Switzerland,1981,,CHE-1981
CHL,Chile,1981,1.109827162,CHL-1981
CZE,Czech Republic,1981,,CZE-1981
DEU,Germany,1981,0.040128266,DEU-1981
DNK,Denmark,1981,0.160726985,DNK-1981
ESP,Spain,1981,0.843860283,ESP-1981
EST,Estonia,1981,,EST-1981
FIN,Finland,1981,0.18985556,FIN-1981
FRA,France,1981,0.401205879,FRA-1981
GBR,United Kingdom,1981,1.087231673,GBR-1981
GRC,Greece,1981,0.993380506,GRC-1981
HUN,Hungary,1981,,HUN-1981
IRL,Ireland,1981,0.983098765,IRL-1981
ISL,Iceland,1981,1.540138084,ISL-1981
ISR,Israel,1981,,ISR-1981
ITA,Italy,1981,0.262537621,ITA-1981
JPN,Japan,1981,0.015586688,JPN-1981
KOR,"Korea, Rep.",1981,0.140834198,KOR-1981
LUX,Luxembourg,1981,,LUX-1981
LVA,Latvia,1981,,LVA-1981
MEX,Mexico,1981,1.230798107,MEX-1981
NLD,Netherlands,1981,1.110259997,NLD-1981
NOR,Norway,1981,1.056399627,NOR-1981
NZL,New Zealand,1981,1.136242665,NZL-1981
POL,Poland,1981,,POL-1981
PRT,Portugal,1981,0.545604365,PRT-1981
SVK,Slovak Republic,1981,,SVK-1981
SVN,Slovenia,1981,,SVN-1981
SWE,Sweden,1981,0.141654652,SWE-1981
TUR,Turkey,1981,0.13372744,TUR-1981
USA,United States,1981,0.784501563,USA-1981
AUS,Australia,1982,1.21984754,AUS-1982
AUT,Austria,1982,0.291710695,AUT-1982
BEL,Belgium,1982,,BEL-1982
CAN,Canada,1982,0.028722569,CAN-1982
CHE,Switzerland,1982,,CHE-1982
CHL,Chile,1982,1.583359753,CHL-1982
CZE,Czech Republic,1982,,CZE-1982
DEU,Germany,1982,0.09832799,DEU-1982
DNK,Denmark,1982,0.221558999,DNK-1982
ESP,Spain,1982,0.912025406,ESP-1982
EST,Estonia,1982,,EST-1982
FIN,Finland,1982,0.001723524,FIN-1982
